Filename,Identifier,IE_krr,IE_exp
58859-46-4,CCOC(=O)N1CCC([NH3+])CC1,-12.4018080089,nan
67914-60-7,CC(=O)N1CCN(CC1)c2ccc(O)cc2,-0.2006512576,nan
31431-39-7,COC(=O)Nc1[nH]c2cc(ccc2n1)C(=O)c3ccccc3,61.7134107153,nan
2164-61-6,OC(=O)c1cccnn1,45.311580426,nan
5020-21-3,OC(=O)C1C=Cc2ccccc12,65.4597491362,nan
243641-37-4,Cc1ccc2CCCN(C(=O)OC(C)(C)C)c2n1,19.1821610689,nan
22084-89-5,Cc1ccccc1CCC(O)=O,46.7713762371,nan
82-86-0,O=C1C(=O)c2cccc3cccc1c23,80.8942352203,nan
107-29-9,C/C=N/O,-24.2197182438,nan
614-80-2,CC(=O)Nc1ccccc1O,32.9150370263,nan
621-42-1,CC(=O)Nc1cccc(O)c1,32.1039435958,nan
103-90-2,CC(=O)Nc1ccc(O)cc1,31.462048992,nan
1126-81-4,CC(=O)Nc1ccc(S)cc1,44.7312593348,nan
1068-57-1,CC(=O)NN,-26.4897087907,nan
102-01-2,CC(=O)CC(=O)Nc1ccccc1,35.6014071073,nan
110-13-4,CC(=O)CCC(C)=O,25.7302344699,nan
98-86-2,CC(=O)c1ccccc1,52.0681853073,nan
498-02-2,COc1cc(ccc1O)C(C)=O,49.6808930537,nan
784-04-3,CC(=O)c1c2ccccc2cc3ccccc13,70.0376383395,nan
577-56-0,CC(=O)c1ccccc1C(O)=O,64.9481216948,nan
517-23-7,CC(=O)C1CCOC1=O,46.4593248451,nan
932-66-1,CC(=O)C1=CCCCC1,29.5790106632,nan
2386-25-6,CC(=O)c1c(C)[nH]cc1C,21.7136509116,nan
10036-64-3,CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,25.7762665459,nan
543-24-8,CC(=O)NCC(O)=O,-0.2782937564,nan
703-80-0,CC(=O)c1c[nH]c2ccccc12,51.4526289002,nan
10308-82-4,NN=C(N)N.O[N+]([O-])=O,1.098585613,nan
3977-29-5,CC1=CC(=O)N=C(N)N1,12.7703075879,nan
1606-67-3,Nc1ccc2ccc3cccc4ccc1c2c34,55.4897593052,nan
78-92-2,CCC(C)O,-1.6628234454,nan
6117-80-2,OC\C=C/CO,7.3045090114,nan
86-74-8,[nH]1c2ccccc2c3ccccc13,46.0495134969,nan
100-64-1,ON=C1CCCCC1,11.6696345936,nan
822-67-3,OC1CCCC=C1,11.3217145254,nan
2039-76-1,CC(=O)c1ccc2ccc3ccccc3c2c1,72.6928672805,nan
1122-62-9,CC(=O)c1ccccn1,36.6822192539,nan
1122-54-9,CC(=O)c1ccncc1,37.4339765021,nan
36546-50-6,CCOC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O,32.1931237488,nan
627-91-8,COC(=O)CCCCC(O)=O,44.803983606,nan
56-41-7,CC(N)C(O)=O,-9.713508761,nan
97-59-6,NC(=O)NC1NC(=O)NC1=O,-3.4830458408,nan
140-67-0,COc1ccc(CC=C)cc1,41.9153066377,nan
592-88-1,C=CCSCC=C,25.3802519942,nan
99-92-3,CC(=O)c1ccc(N)cc1,46.2287989897,nan
83-07-8,CN1N(c2ccccc2)C(=O)C(=C1C)N,16.2493938474,nan
2835-77-0,Nc1ccccc1C(=O)c2ccccc2,57.8562460277,nan
1137-41-3,Nc1ccc(cc1)C(=O)c2ccccc2,57.7522110998,nan
5351-17-7,NNC(=O)c1ccc(N)cc1,28.8424165397,nan
3544-25-0,Nc1ccc(CC#N)cc1,31.5789419755,nan
90-41-5,Nc1ccccc1c2ccccc2,42.9481577422,nan
56-12-2,NCCCC(O)=O,7.5142069412,nan
60-32-2,NCCCCCC(O)=O,9.1234251871,nan
6994-25-8,CCOC(=O)c1cn[nH]c1N,26.3874663019,nan
56-09-7,NC1=NC(=CC(=O)N1)O,12.6951145845,nan
873-83-6,NC1=CC(=O)NC(=O)N1,8.1498904033,nan
5407-87-4,Cc1cc(C)nc(N)c1,25.8130779979,nan
767-15-7,Cc1cc(C)nc(N)n1,19.8020784348,nan
926-39-6,NCCO[S](O)(=O)=O,41.0887963278,nan
7154-73-6,NCCN1CCCC1,-9.4318930128,nan
6344-62-3,Nc1cccc2c3ccccc3C(=O)c12,72.5666843419,nan
34698-41-4,[NH3+][C@H]1CCc2ccccc12,41.3439006957,nan
5192-03-0,Nc1ccc2[nH]ccc2c1,29.647899293,nan
6628-77-9,COc1ccc(N)cn1,10.9454823055,nan
4389-45-1,Cc1cccc(C(O)=O)c1N,48.952383701,nan
2458-12-0,Cc1ccc(cc1N)C(O)=O,52.102132228,nan
115-69-5,CC(N)(CO)CO,-27.3896727457,nan
124-68-5,CC(C)(N)CO,-30.8127252272,nan
108-52-1,Cc1ccnc(N)n1,13.8079364583,nan
4319-49-7,NN1CCOCC1,-37.4376191542,nan
5959-52-4,Nc1cc2ccccc2cc1C(O)=O,72.4456817057,nan
5345-47-1,Nc1ncccc1C(O)=O,46.1212544656,nan
4214-76-0,Nc1ccc(cn1)[N+]([O-])=O,40.7535829011,nan
95-55-6,Nc1ccccc1O,33.6782485746,nan
123-30-8,Nc1ccc(O)cc1,32.2811102935,nan
1197-55-3,Nc1ccc(CC(O)=O)cc1,47.5810578874,nan
80-08-0,Nc1ccc(cc1)[S](=O)(=O)c2ccc(N)cc2,59.1539833941,nan
3687-18-1,NCCC[S](O)(=O)=O,31.2893397534,nan
2079-89-2,NCCC#N.NCCC#N.OC(=O)\C=C\C(O)=O,22.4801174182,nan
5049-61-6,Nc1cnccn1,-13.5936698603,nan
109-12-6,Nc1ncccn1,7.1751696567,nan
611-34-7,Nc1cccc2ncccc12,33.5982850838,nan
65-49-6,Nc1ccc(C(O)=O)c(O)c1,60.140022098,nan
2217-41-6,Nc1cccc2CCCCc12,41.3255908863,nan
584-13-4,Nn1cnnc1,-2.3421609784,nan
2432-99-7,NCCCCCCCCCCC(O)=O,29.8475790411,nan
6315-89-5,COc1ccc(N)cc1OC,33.0645356328,nan
123-11-5,COc1ccc(C=O)cc1,56.4201289066,nan
119-52-8,COc1ccc(cc1)C(O)C(=O)c2ccc(OC)cc2,58.3111974961,nan
120-12-7,c1ccc2cc3ccccc3cc2c1,54.4994512468,nan
723-62-6,OC(=O)c1c2ccccc2cc3ccccc13,77.3835521869,nan
88-68-6,NC(=O)c1ccccc1N,34.9930801487,nan
1885-29-6,Nc1ccccc1C#N,33.0258885416,nan
90-44-8,O=C1c2ccccc2Cc3ccccc13,71.114834361,nan
60-80-0,CN1N(C(=O)C=C1C)c2ccccc2,20.7145190413,nan
87-72-9,O[C@@H]1COC(O)[C@@H](O)[C@@H]1O,32.1969185392,nan
74-79-3,NC(CCCN=C(N)N)C(O)=O,-10.6696195237,nan
50-81-7,OCC(O)C1OC(=C(O)C1=O)O,52.8250897156,nan
617-45-8,NC(CC(O)=O)C(O)=O,30.1825865443,nan
56-84-8,NC(CC(O)=O)C(O)=O,30.0443988182,nan
271-63-6,[nH]1ccc2cccnc12,30.5234466592,nan
2133-34-8,OC(=O)[C@@H]1CCN1,-0.8921195801,nan
275-51-4,c1ccc2cccc2cc1,48.6470652007,nan
100-52-7,O=Cc1ccccc1,58.3639131523,nan
206752-36-5,NC(=[NH2+])c1ccccc1,31.557038198,nan
92-24-0,c1ccc2cc3cc4ccccc4cc3cc2c1,57.1307314141,nan
589-29-7,OCc1ccc(CO)cc1,42.0796224707,nan
89-05-4,OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O,84.8445239092,nan
554-95-0,OC(=O)c1cc(cc(c1)C(O)=O)C(O)=O,75.9539678543,nan
91-01-0,OC(c1ccccc1)c2ccccc2,52.5635567884,nan
134-81-6,O=C(c1ccccc1)C(=O)c2ccccc2,64.7728405612,nan
230-17-1,c1ccc2c(c1)nnc3ccccc23,49.2686740917,nan
271-89-6,o1ccc2ccccc12,59.7510315037,nan
119-53-9,OC(c1ccccc1)C(=O)c2ccccc2,59.7922969443,nan
